ftw.directoryservice.contact
location;firstname;lastname;email
Mandant 2;Antonio;Bach;antonio.bach@4teamwork.ch
Mandant 2;Manfred;Bachelard;manfred.bachelard@4teamwork.ch
Mandant 2;Willy;Bachmann;willy.bachmann@4teamwork.ch
Mandant 2;Franz;Bächtold;franz.bächtold@4teamwork.ch
Mandant 2;Leo;Bader;leo.bader@4teamwork.ch
Mandant 2;Johann Bartholome;Badoud;johann.bartholome.badoud@4teamwork.ch
Mandant 2;F.-Alfred-J.;Badoux;f.-alfred-j..badoux@4teamwork.ch
Mandant 2;Théodore;Baechtold;théodore.baechtold@4teamwork.ch
Mandant 2;Jean-François;Baerlocher;jean-françois.baerlocher@4teamwork.ch
Mandant 2;Josiane;Baettig;josiane.baettig@4teamwork.ch
Mandant 2;Pierre-Ignace;Baggi;pierre-ignace.baggi@4teamwork.ch
Mandant 2;Geneviève;Bähler;geneviève.bähler@4teamwork.ch
Mandant 2;Felix;Baldinger;felix.baldinger@4teamwork.ch
Mandant 2;F. Xaver J. K.;Balestra;f..xaver.j..k..balestra@4teamwork.ch
Mandant 2;Dominik;Balli;dominik.balli@4teamwork.ch
Mandant 2;André;Ballmoos;andré.ballmoos@4teamwork.ch
Mandant 2;Caspar;Bally;caspar.bally@4teamwork.ch
Mandant 2;Jean;Balmer;jean.balmer@4teamwork.ch
Mandant 2;Alma;Banga;alma.banga@4teamwork.ch
Mandant 2;David E.;Bangerter;david.e..bangerter@4teamwork.ch
Mandant 2;Jakob H.;Bänziger;jakob.h..bänziger@4teamwork.ch
Mandant 2;Gottlieb;Bär;gottlieb.bär@4teamwork.ch
Mandant 2;Karl;Barben;karl.barben@4teamwork.ch
Mandant 2;Arthur;Barchi;arthur.barchi@4teamwork.ch
Mandant 2;Kurt;Barlatey;kurt.barlatey@4teamwork.ch
Mandant 2;Elvira;Bärlocher;elvira.bärlocher@4teamwork.ch
Mandant 2;François-X.;Barman;françois-x..barman@4teamwork.ch
Mandant 2;Gilbert;Barras;gilbert.barras@4teamwork.ch
Mandant 3;Thomas;Barrelet;thomas.barrelet@4teamwork.ch
Mandant 3;Dominique;Barthassat;dominique.barthassat@4teamwork.ch
Mandant 3;Traugott-Philipp Eduard;Bärtschi;traugott-philipp.eduard.bärtschi@4teamwork.ch
Mandant 3;Karl L.;Basler;karl.l..basler@4teamwork.ch
Mandant 3;Wilhelm K.;Battaglini;wilhelm.k..battaglini@4teamwork.ch
Mandant 3;Emil A.;Baud;emil.a..baud@4teamwork.ch
Mandant 3;Luigi A.;Baudat;luigi.a..baudat@4teamwork.ch
Mandant 3;Valentino Alessandro;Bauder;valentino.alessandro.bauder@4teamwork.ch
Mandant 3;Carl Franz;Baudère;carl.franz.baudère@4teamwork.ch
Mandant 3;Iwan;Bauer;iwan.bauer@4teamwork.ch
Mandant 3;Josef Anton;Bauer-Lagier;josef.anton.bauer-lagier@4teamwork.ch
Mandant 3;Boris;Baumann;boris.baumann@4teamwork.ch
Mandant 3;Gottfried;Baumberger;gottfried.baumberger@4teamwork.ch
Mandant 3;Käthi;Baumgartner;käthi.baumgartner@4teamwork.ch
Mandant 3;Marlies;Bäumle;marlies.bäumle@4teamwork.ch
Mandant 3;Rosmarie;Bäumlin;rosmarie.bäumlin@4teamwork.ch
Mandant 3;Pier Felice;Bavier;pier.felice.bavier@4teamwork.ch
Mandant 3;Cyprien;Beck;cyprien.beck@4teamwork.ch
Mandant 3;Remigius;Beerli;remigius.beerli@4teamwork.ch
Mandant 3;Maurice;Béguelin;maurice.béguelin@4teamwork.ch
Mandant 3;Louis-G.;Béguin;louis-g..béguin@4teamwork.ch
Mandant 3;Louis;Belmont;louis.belmont@4teamwork.ch
Mandant 3;Luc;Belser;luc.belser@4teamwork.ch
Mandant 3;Konrad;Benninger;konrad.benninger@4teamwork.ch
Mandant 3;Carlo;Benz;carlo.benz@4teamwork.ch
Mandant 3;Charles-H.-A.;Benziger;charles-h.-a..benziger@4teamwork.ch
Mandant 3;Robert;Berberat;robert.berberat@4teamwork.ch
Mandant 3;Raymond;Berchtold;raymond.berchtold@4teamwork.ch
Mandant 3;Albert;Berdez;albert.berdez@4teamwork.ch
Mandant 3;Monique;Berger;monique.berger@4teamwork.ch
Mandant 3;Johann Kaspar;Berlinger;johann.kaspar.berlinger@4teamwork.ch
Mandant 3;Rudolf;Bernasconi;rudolf.bernasconi@4teamwork.ch
Mandant 3;Heinrich;Bernet;heinrich.bernet@4teamwork.ch
Mandant 3;Stephanie;Berney;stephanie.berney@4teamwork.ch
Mandant 3;J. Alexander;Bernhard;j..alexander.bernhard@4teamwork.ch
Mandant 3;Georg;Bernhardsgrütter;georg.bernhardsgrütter@4teamwork.ch
Mandant 3;Hans Ulrich;Bernold;hans.ulrich.bernold@4teamwork.ch
Mandant 3;Gallus Jakob;Bernoulli;gallus.jakob.bernoulli@4teamwork.ch
Mandant 3;Bonaventura;Beroldingen;bonaventura.beroldingen@4teamwork.ch
Mandant 3;David;Berset;david.berset@4teamwork.ch
Mandant 3;Martin;Bersier;martin.bersier@4teamwork.ch
Mandant 3;Richard;Bertholet;richard.bertholet@4teamwork.ch
Mandant 3;Ursula;Berthoud;ursula.berthoud@4teamwork.ch
Mandant 3;Johann Baptist;Bertoni;johann.baptist.bertoni@4teamwork.ch
Mandant 3;Simeon;Bertschinger;simeon.bertschinger@4teamwork.ch
Mandant 3;Franz Xaver;Besson;franz.xaver.besson@4teamwork.ch
Mandant 3;Fritz;Besuchet;fritz.besuchet@4teamwork.ch
Mandant 3;Carl;Bettex;carl.bettex@4teamwork.ch
Mandant 3;Marcel;Bezzola;marcel.bezzola@4teamwork.ch
Mandant 3;Serge;Bider;serge.bider@4teamwork.ch
